sequence	EC	count	dbcan_column
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.85	0	GH1
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.86	1	GH1, GH4
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.67	0	GH28, GH4
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.82	0	GH28
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.55	0	GH2, GH3, GH43, GH51, GH54, GH62
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.24	0	GH31, GH38, GH92
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.16	0	GH31, GT2
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.64	0	GH32
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.65	0	GH32
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.80	0	GH32
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.10	0	GH32, GH68, GT105, GT13, GT14, GT39
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.82	0	GH36
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.76	0	GH39
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.99	0	GH43
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.89	0	GH53
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.46	0	GH59
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.91	0	GH5, GH6, GH9
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.8	1	GH65
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.64	0	GH65
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.5	0	GH70
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.14	0	GH70, GT16, GT17, GT31, GT33, GT4, GT54
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.59	0	GH71, GH87
059bd1686e507efed01c12fd89a4e394	EC:3.2.1.50	0	GH89
059bd1686e507efed01c12fd89a4e394	EC:4.2.2.17	0	GH91
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.56	0	GT103, GT4, GT9
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.15	0	GT10, GT14, GT18, GT1, GT20, GT28, GT4
059bd1686e507efed01c12fd89a4e394	EC:2.4.2.26	0	GT14
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.13	0	GT15, GT31, GT43, GT4, GT7
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.17	0	GT1, GT31, GT70
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.11	0	GT1, GT2, GT3, GT5
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.12	0	GT1, GT2, GT31, GT51, GT8
059bd1686e507efed01c12fd89a4e394	EC:3.1.3.12	0	GT20
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.80	0	GT21
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.50	0	GT25
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.46	0	GT28
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.22	0	GT28, GT31, GT47, GT64, GT7
059bd1686e507efed01c12fd89a4e394	EC:2.4.99.1	0	GT29, GT80
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.83	0	GT2
059bd1686e507efed01c12fd89a4e394	EC:2.4.1.34	0	GT2, GT48
